"","Measurement.Time","Value","Loc"
"1",2017-11-14,15.83125,"PC"
"2",2017-11-14,15.521,"PC"
"3",2017-11-14,15.879,"PC"
"4",2017-11-14,16.21275,"PC"
"5",2017-11-14,16.49875,"PC"
"6",2017-11-14,16.30825,"PC"
"7",2017-11-14,15.99825,"PC"
"8",2017-11-14,16.1415,"PC"
"9",2017-11-14,16.04575,"PC"
"10",2017-11-14,15.75975,"PC"
"11",2017-11-14,15.59275,"PC"
"12",2017-11-14,15.4495,"PC"
"13",2017-11-14,15.28225,"PC"
"14",2017-11-14,15.521,"PC"
"15",2017-11-14,15.66425,"PC"
"16",2017-11-14,15.97475,"PC"
"17",2017-11-14,16.189,"PC"
"18",2017-11-14,17.07025,"PC"
"19",2017-11-14,17.92625,"PC"
"20",2017-11-14,19.04425,"PC"
"21",2017-11-14,19.94775,"PC"
"22",2017-11-14,29.45425,"PC"
"23",2017-11-14,20.26075,"PC"
"24",2017-11-14,19.18725,"PC"
"25",2017-11-14,22.392,"PC"
"26",2017-11-14,23.602,"PC"
"27",2017-11-14,24.34375,"PC"
"28",2017-11-14,24.7185,"PC"
"29",2017-11-14,25.02775,"PC"
"30",2017-11-14,22.9725,"PC"
"31",2017-11-14,22.195,"PC"
"32",2017-11-14,20.87725,"PC"
"33",2017-11-14,20.7115,"PC"
"34",2017-11-14,20.57,"PC"
"35",2017-11-14,20.21275,"PC"
"36",2017-11-14,19.95025,"PC"
"37",2017-11-14,19.35375,"PC"
"38",2017-11-14,19.13975,"PC"
"39",2017-11-14,19.092,"PC"
"40",2017-11-14,18.75875,"PC"
"41",2017-11-14,18.9965,"PC"
"42",2017-11-14,18.9255,"PC"
"43",2017-11-14,19.47225,"PC"
"44",2017-11-14,19.71,"PC"
"45",2017-11-14,19.615,"PC"
"46",2017-11-14,19.4015,"PC"
"47",2017-11-14,18.711,"PC"
"48",2017-11-14,18.21125,"PC"
"49",2017-11-15,18.283,"PC"
"50",2017-11-15,17.97375,"PC"
"51",2017-11-15,17.61675,"PC"
"52",2017-11-15,17.11725,"PC"
"53",2017-11-15,16.90225,"PC"
"54",2017-11-15,17.56975,"PC"
"55",2017-11-15,18.23575,"PC"
"56",2017-11-15,17.9265,"PC"
"57",2017-11-15,17.33175,"PC"
"58",2017-11-15,16.9745,"PC"
"59",2017-11-15,16.92725,"PC"
"60",2017-11-15,16.97475,"PC"
"61",2017-11-15,16.80825,"PC"
"62",2017-11-15,16.7605,"PC"
"63",2017-11-15,16.83175,"PC"
"64",2017-11-15,16.8795,"PC"
"65",2017-11-15,17.07,"PC"
"66",2017-11-15,17.42675,"PC"
"67",2017-11-15,17.64075,"PC"
"68",2017-11-15,18.0455,"PC"
"69",2017-11-15,18.59225,"PC"
"70",2017-11-15,18.83,"PC"
"71",2017-11-15,18.735,"PC"
"72",2017-11-15,19.02025,"PC"
"73",2017-11-15,19.87675,"PC"
"74",2017-11-15,20.63875,"PC"
"75",2017-11-15,21.30825,"PC"
"76",2017-11-15,20.80725,"PC"
"77",2017-11-15,20.23375,"PC"
"78",2017-11-15,20.68625,"PC"
"79",2017-11-15,20.18625,"PC"
"80",2017-11-15,20.49575,"PC"
"81",2017-11-15,20.32875,"PC"
"82",2017-11-15,20.11475,"PC"
"83",2017-11-15,19.51975,"PC"
"84",2017-11-15,19.06825,"PC"
"85",2017-11-15,18.92525,"PC"
"86",2017-11-15,18.61625,"PC"
"87",2017-11-15,18.2595,"PC"
"88",2017-11-15,18.117,"PC"
"89",2017-11-15,18.02175,"PC"
"90",2017-11-15,18.11675,"PC"
"91",2017-11-15,18.521,"PC"
"92",2017-11-15,18.949,"PC"
"93",2017-11-15,18.735,"PC"
"94",2017-11-15,18.426,"PC"
"95",2017-11-15,18.426,"PC"
"96",2017-11-15,18.5685,"PC"
"97",2017-11-16,18.11625,"PC"
"98",2017-11-16,17.25875,"PC"
"99",2017-11-16,16.35325,"PC"
"100",2017-11-16,15.8525,"PC"
"101",2017-11-16,16.306,"PC"
"102",2017-11-16,17.4505,"PC"
"103",2017-11-16,17.879,"PC"
"104",2017-11-16,17.66475,"PC"
"105",2017-11-16,17.522,"PC"
"106",2017-11-16,17.427,"PC"
"107",2017-11-16,17.11725,"PC"
"108",2017-11-16,16.832,"PC"
"109",2017-11-16,16.6655,"PC"
"110",2017-11-16,16.594,"PC"
"111",2017-11-16,16.47475,"PC"
"112",2017-11-16,16.30825,"PC"
"113",2017-11-16,16.189,"PC"
"114",2017-11-16,16.30825,"PC"
"115",2017-11-16,16.42725,"PC"
"116",2017-11-16,16.451,"PC"
"117",2017-11-16,16.0695,"PC"
"118",2017-11-16,16.689,"PC"
"119",2017-11-16,16.97475,"PC"
"120",2017-11-16,17.09375,"PC"
"121",2017-11-16,17.2365,"PC"
"122",2017-11-16,16.4505,"PC"
"123",2017-11-16,15.54375,"PC"
"124",2017-11-16,15.4965,"PC"
"125",2017-11-16,15.54425,"PC"
"126",2017-11-16,15.3765,"PC"
"127",2017-11-16,14.754,"PC"
"128",2017-11-16,14.49,"PC"
"129",2017-11-16,14.538,"PC"
"130",2017-11-16,14.61025,"PC"
"131",2017-11-16,14.802,"PC"
"132",2017-11-16,14.874,"PC"
"133",2017-11-16,15.329,"PC"
"134",2017-11-16,16.546,"PC"
"135",2017-11-16,16.6415,"PC"
"136",2017-11-16,16.3555,"PC"
"137",2017-11-16,16.16525,"PC"
"138",2017-11-16,16.09375,"PC"
"139",2017-11-16,16.06975,"PC"
"140",2017-11-16,15.99825,"PC"
"141",2017-11-16,15.92675,"PC"
"142",2017-11-16,16.04575,"PC"
"143",2017-11-16,16.0695,"PC"
"144",2017-11-16,15.304,"PC"
"145",2017-11-17,14.46575,"PC"
"146",2017-11-17,13.96225,"PC"
"147",2017-11-17,13.81775,"PC"
"148",2017-11-17,13.9145,"PC"
"149",2017-11-17,13.93875,"PC"
"150",2017-11-17,14.03475,"PC"
"151",2017-11-17,13.987,"PC"
"152",2017-11-17,14.1555,"PC"
"153",2017-11-17,15.114,"PC"
"154",2017-11-17,15.688,"PC"
"155",2017-11-17,15.66425,"PC"
"156",2017-11-17,15.6405,"PC"
"157",2017-11-17,15.56875,"PC"
"158",2017-11-17,15.56875,"PC"
"159",2017-11-17,15.64025,"PC"
"160",2017-11-17,15.64025,"PC"
"161",2017-11-17,15.712,"PC"
"162",2017-11-17,15.712,"PC"
"163",2017-11-17,15.8315,"PC"
