"","Value","Measurement.Time","Loc"
"1",0,2016-11-12,"PC"
"2",0,2016-11-13,"PC"
"3",0,2016-11-14,"PC"
"4",0,2016-11-15,"PC"
"5",0,2016-11-16,"PC"
"6",0,2016-11-17,"PC"
"7",0,2016-11-18,"PC"
"8",0,2016-11-19,"PC"
"9",0,2016-11-20,"PC"
"10",0,2016-11-21,"PC"
"11",0,2016-11-22,"PC"
"12",0,2016-11-23,"PC"
"13",2,2016-11-24,"PC"
"14",2,2016-11-25,"PC"
"15",2,2016-11-26,"PC"
"16",2,2016-11-27,"PC"
"17",2,2016-11-28,"PC"
"18",2,2016-11-29,"PC"
"19",2,2016-11-30,"PC"
"20",2,2016-12-01,"PC"
"21",2,2016-12-02,"PC"
"22",2,2016-12-03,"PC"
"23",2,2016-12-04,"PC"
"24",2,2016-12-05,"PC"
"25",2,2016-12-06,"PC"
"26",2,2016-12-07,"PC"
"27",2,2016-12-08,"PC"
"28",2,2016-12-09,"PC"
"29",2,2016-12-10,"PC"
"30",2,2016-12-11,"PC"
"31",2,2016-12-12,"PC"
"32",2,2016-12-13,"PC"
"33",0,2016-12-14,"PC"
"34",0,2016-12-15,"PC"
"35",0,2016-12-16,"PC"
"36",0,2016-12-17,"PC"
"37",0,2016-12-18,"PC"
"38",0,2016-12-19,"PC"
"39",0,2016-12-20,"PC"
"40",2,2016-12-21,"PC"
"41",2,2016-12-22,"PC"
"42",2,2016-12-23,"PC"
"43",2,2016-12-24,"PC"
"44",2,2016-12-25,"PC"
"45",2,2016-12-26,"PC"
"46",2,2016-12-27,"PC"
"47",2,2016-12-28,"PC"
"48",2,2016-12-29,"PC"
"49",2,2016-12-30,"PC"
"50",2,2016-12-31,"PC"
"51",2,2017-01-01,"PC"
"52",2,2017-01-02,"PC"
"53",2,2017-01-03,"PC"
"54",2,2017-01-04,"PC"
"55",2,2017-01-05,"PC"
"56",2,2017-01-06,"PC"
"57",2,2017-01-07,"PC"
"58",2,2017-01-08,"PC"
"59",2,2017-01-09,"PC"
"60",2,2017-01-10,"PC"
"61",0,2017-01-11,"PC"
"62",0,2017-01-12,"PC"
"63",0,2017-01-13,"PC"
"64",0,2017-01-14,"PC"
"65",0,2017-01-15,"PC"
"66",0,2017-01-16,"PC"
"67",0,2017-01-17,"PC"
"68",0,2017-01-18,"PC"
"69",0,2017-01-19,"PC"
"70",0,2017-01-20,"PC"
"71",0,2017-01-21,"PC"
"72",0,2017-01-22,"PC"
"73",0,2017-01-23,"PC"
"74",0,2017-01-24,"PC"
"75",0,2017-01-25,"PC"
"76",0,2017-01-26,"PC"
"77",0,2017-01-27,"PC"
"78",0,2017-01-28,"PC"
"79",0,2017-01-29,"PC"
"80",0,2017-01-30,"PC"
"81",0,2017-01-31,"PC"
"82",0,2017-02-01,"PC"
"83",0,2017-02-02,"PC"
"84",0,2017-02-03,"PC"
"85",0,2017-02-04,"PC"
"86",0,2017-02-05,"PC"
"87",0,2017-02-06,"PC"
"88",0,2017-02-07,"PC"
"89",0,2017-02-08,"PC"
"90",0,2017-02-09,"PC"
"91",0,2017-02-10,"PC"
"92",0,2017-02-11,"PC"
"93",0,2017-02-12,"PC"
"94",0,2017-02-13,"PC"
"95",0,2017-02-14,"PC"
"96",0,2017-02-15,"PC"
"97",0,2017-02-16,"PC"
"98",0,2017-02-17,"PC"
"99",0,2017-02-18,"PC"
"100",0,2017-02-19,"PC"
"101",0,2017-02-20,"PC"
"102",0,2017-02-21,"PC"
"103",0,2017-02-22,"PC"
"104",0,2017-02-23,"PC"
"105",0,2017-02-24,"PC"
"106",0,2017-02-25,"PC"
"107",0,2017-02-26,"PC"
"108",0,2017-02-27,"PC"
"109",0,2017-02-28,"PC"
"110",0,2017-03-01,"PC"
"111",0,2017-03-02,"PC"
"112",2,2017-03-03,"PC"
"113",2,2017-03-04,"PC"
"114",2,2017-03-05,"PC"
"115",2,2017-03-06,"PC"
"116",2,2017-03-07,"PC"
"117",2,2017-03-08,"PC"
"118",2,2017-03-09,"PC"
"119",2,2017-03-10,"PC"
"120",2,2017-03-11,"PC"
"121",2,2017-03-12,"PC"
"122",2,2017-03-13,"PC"
"123",2,2017-03-14,"PC"
"124",2,2017-03-15,"PC"
"125",2,2017-03-16,"PC"
"126",2,2017-03-17,"PC"
"127",2,2017-03-18,"PC"
"128",2,2017-03-19,"PC"
"129",2,2017-03-20,"PC"
"130",2,2017-03-21,"PC"
"131",2,2017-11-13,"PC"
"132",2,2017-11-14,"PC"
"133",2,2017-11-15,"PC"
"134",2,2017-11-16,"PC"
"135",2,2017-11-17,"PC"
"136",2,2017-11-18,"PC"
"137",2,2017-11-19,"PC"
"138",2,2017-11-20,"PC"
"139",2,2017-11-21,"PC"
"140",2,2017-11-22,"PC"
"141",2,2017-11-23,"PC"
"142",2,2017-11-24,"PC"
"143",2,2017-11-25,"PC"
"144",2,2017-11-26,"PC"
"145",2,2017-11-27,"PC"
"146",2,2017-11-28,"PC"
"147",2,2017-11-29,"PC"
"148",2,2017-11-30,"PC"
"149",0,2017-12-01,"PC"
"150",0,2017-12-02,"PC"
"151",0,2017-12-03,"PC"
"152",0,2017-12-04,"PC"
"153",0,2017-12-05,"PC"
"154",0,2017-12-06,"PC"
"155",0,2017-12-07,"PC"
"156",0,2017-12-08,"PC"
"157",0,2017-12-09,"PC"
"158",0,2017-12-10,"PC"
"159",0,2017-12-11,"PC"
"160",0,2017-12-12,"PC"
"161",0,2017-12-13,"PC"
"162",0,2017-12-14,"PC"
"163",0,2017-12-15,"PC"
"164",0,2017-12-16,"PC"
"165",0,2017-12-17,"PC"
"166",0,2017-12-18,"PC"
"167",0,2017-12-19,"PC"
"168",0,2017-12-20,"PC"
"169",0,2017-12-21,"PC"
"170",0,2017-12-22,"PC"
"171",0,2017-12-23,"PC"
"172",0,2017-12-24,"PC"
"173",0,2017-12-25,"PC"
"174",0,2017-12-26,"PC"
"175",0,2017-12-27,"PC"
"176",0,2017-12-28,"PC"
"177",0,2017-12-29,"PC"
"178",0,2017-12-30,"PC"
"179",0,2017-12-31,"PC"
"180",0,2018-01-01,"PC"
"181",0,2018-01-02,"PC"
"182",0,2018-01-03,"PC"
"183",0,2018-01-04,"PC"
"184",0,2018-01-05,"PC"
"185",0,2018-01-06,"PC"
"186",0,2018-01-07,"PC"
"187",0,2018-01-08,"PC"
"188",0,2018-01-09,"PC"
"189",0,2018-01-10,"PC"
"190",0,2018-01-11,"PC"
"191",0,2018-01-12,"PC"
"192",0,2018-01-13,"PC"
"193",0,2018-01-14,"PC"
"194",0,2018-01-15,"PC"
"195",0,2018-01-16,"PC"
"196",0,2018-01-17,"PC"
"197",0,2018-01-18,"PC"
"198",0,2018-01-19,"PC"
"199",0,2018-01-20,"PC"
"200",0,2018-01-21,"PC"
"201",0,2018-01-22,"PC"
"202",0,2018-01-23,"PC"
"203",2,2018-01-24,"PC"
"204",2,2018-01-25,"PC"
"205",2,2018-01-26,"PC"
"206",2,2018-01-27,"PC"
"207",2,2018-01-28,"PC"
"208",2,2018-01-29,"PC"
"209",2,2018-01-30,"PC"
"210",2,2018-01-31,"PC"
"211",2,2018-02-01,"PC"
"212",2,2018-02-02,"PC"
"213",2,2018-02-03,"PC"
"214",2,2018-02-04,"PC"
"215",2,2018-02-05,"PC"
"216",2,2018-02-06,"PC"
"217",2,2018-02-07,"PC"
"218",2,2018-02-08,"PC"
"219",0,2018-02-09,"PC"
"220",0,2018-02-10,"PC"
"221",0,2018-02-11,"PC"
"222",0,2018-02-12,"PC"
"223",0,2018-02-13,"PC"
"224",0,2018-02-14,"PC"
"225",0,2018-02-15,"PC"
"226",0,2018-02-16,"PC"
"227",0,2018-02-17,"PC"
"228",0,2018-02-18,"PC"
"229",0,2018-02-19,"PC"
"230",0,2018-02-20,"PC"
"231",0,2018-02-21,"PC"
"232",0,2018-02-22,"PC"
"233",2,2018-02-23,"PC"
"234",2,2018-02-24,"PC"
"235",2,2018-02-25,"PC"
"236",2,2018-02-26,"PC"
"237",2,2018-02-27,"PC"
"238",2,2018-02-28,"PC"
"239",2,2018-03-01,"PC"
"240",2,2018-03-02,"PC"
"241",2,2018-03-03,"PC"
"242",2,2018-03-04,"PC"
"243",2,2018-03-05,"PC"
"244",2,2018-03-06,"PC"
"245",2,2018-03-07,"PC"
"246",2,2018-03-08,"PC"
"247",2,2018-03-09,"PC"
"248",0,2018-03-10,"PC"
"249",0,2018-03-11,"PC"
"250",0,2018-03-12,"PC"
"251",0,2018-03-13,"PC"
"252",0,2018-03-14,"PC"
"253",0,2018-03-15,"PC"
