"","Measurement.Time","Value"
"1",2016-11-12,18.34
"2",2016-11-12,19.95
"3",2016-11-12,20.87
"4",2016-11-12,21.02
"5",2016-11-12,21.37
"6",2016-11-12,20.9
"7",2016-11-12,18.02
"8",2016-11-12,17.96
"9",2016-11-12,16.95
"10",2016-11-12,16.87
"11",2016-11-12,16.83
"12",2016-11-12,16.72
"13",2016-11-12,16.52
"14",2016-11-12,16.25
"15",2016-11-12,16.05
"16",2016-11-12,15.93
"17",2016-11-12,15.72
"18",2016-11-12,15.83
"19",2016-11-12,16.06
"20",2016-11-12,16.15
"21",2016-11-12,16.45
"22",2016-11-12,16.24
"23",2016-11-12,15.84
"24",2016-11-12,15.59
"25",2016-11-12,15.35
"26",2016-11-12,15.13
"27",2016-11-12,15.22
"28",2016-11-12,15.15
"29",2016-11-12,14.99
"30",2016-11-12,14.86
"31",2016-11-12,14.78
"32",2016-11-12,14.74
"33",2016-11-12,14.72
"34",2016-11-12,14.84
"35",2016-11-12,14.79
"36",2016-11-12,14.84
"37",2016-11-12,14.89
"38",2016-11-12,14.79
"39",2016-11-12,14.52
"40",2016-11-12,14.43
"41",2016-11-12,14.27
"42",2016-11-12,14.12
"43",2016-11-12,14.11
"44",2016-11-12,14.04
"45",2016-11-12,14.05
"46",2016-11-12,14.06
"47",2016-11-12,14.11
"48",2016-11-13,14.17
"49",2016-11-13,14.31
"50",2016-11-13,14.47
"51",2016-11-13,15.02
"52",2016-11-13,15.38
"53",2016-11-13,15.63
"54",2016-11-13,16.01
"55",2016-11-13,16.36
"56",2016-11-13,16.87
"57",2016-11-13,17.5
"58",2016-11-13,17.9
"59",2016-11-13,17.87
"60",2016-11-13,17.88
"61",2016-11-13,18.03
"62",2016-11-13,18.05
"63",2016-11-13,18.01
"64",2016-11-13,17.75
"65",2016-11-13,17.7
"66",2016-11-13,17.05
"67",2016-11-13,16.51
"68",2016-11-13,16.26
"69",2016-11-13,16.27
"70",2016-11-13,16.24
"71",2016-11-13,16.15
"72",2016-11-13,16.15
"73",2016-11-13,16.46
"74",2016-11-13,16.57
"75",2016-11-13,16.63
"76",2016-11-13,16.55
"77",2016-11-13,16.49
"78",2016-11-13,16.34
"79",2016-11-13,16.14
"80",2016-11-13,15.93
"81",2016-11-13,15.78
"82",2016-11-13,15.64
"83",2016-11-13,15.71
"84",2016-11-13,15.95
"85",2016-11-13,15.86
"86",2016-11-13,15.9
"87",2016-11-13,15.65
"88",2016-11-13,15.25
"89",2016-11-13,14.85
"90",2016-11-13,14.67
"91",2016-11-13,14.53
"92",2016-11-13,14.36
"93",2016-11-13,14.31
"94",2016-11-13,14.34
"95",2016-11-13,14.33
"96",2016-11-14,14.49
"97",2016-11-14,14.56
"98",2016-11-14,14.71
"99",2016-11-14,14.91
"100",2016-11-14,15.14
"101",2016-11-14,15.39
"102",2016-11-14,15.8
"103",2016-11-14,15.96
"104",2016-11-14,16.25
"105",2016-11-14,16.53
"106",2016-11-14,16.63
"107",2016-11-14,16.78
"108",2016-11-14,17.08
"109",2016-11-14,17.15
"110",2016-11-14,16.93
"111",2016-11-14,16.74
"112",2016-11-14,16.51
"113",2016-11-14,16.26
"114",2016-11-14,15.95
"115",2016-11-14,15.5
"116",2016-11-14,15.11
"117",2016-11-14,14.94
"118",2016-11-14,14.78
"119",2016-11-14,14.61
