"","Measurement.Time","Value"
"1",2017-11-14,15.83125
"2",2017-11-14,15.521
"3",2017-11-14,15.879
"4",2017-11-14,16.21275
"5",2017-11-14,16.49875
"6",2017-11-14,16.30825
"7",2017-11-14,15.99825
"8",2017-11-14,16.1415
"9",2017-11-14,16.04575
"10",2017-11-14,15.75975
"11",2017-11-14,15.59275
"12",2017-11-14,15.4495
"13",2017-11-14,15.28225
"14",2017-11-14,15.521
"15",2017-11-14,15.66425
"16",2017-11-14,15.97475
"17",2017-11-14,16.189
"18",2017-11-14,17.07025
"19",2017-11-14,17.92625
"20",2017-11-14,19.04425
"21",2017-11-14,19.94775
"22",2017-11-14,29.45425
"23",2017-11-14,20.26075
"24",2017-11-14,19.18725
"25",2017-11-14,22.392
"26",2017-11-14,23.602
"27",2017-11-14,24.34375
"28",2017-11-14,24.7185
"29",2017-11-14,25.02775
"30",2017-11-14,22.9725
"31",2017-11-14,22.195
"32",2017-11-14,20.87725
"33",2017-11-14,20.7115
"34",2017-11-14,20.57
"35",2017-11-14,20.21275
"36",2017-11-14,19.95025
"37",2017-11-14,19.35375
"38",2017-11-14,19.13975
"39",2017-11-14,19.092
"40",2017-11-14,18.75875
"41",2017-11-14,18.9965
"42",2017-11-14,18.9255
"43",2017-11-14,19.47225
"44",2017-11-14,19.71
"45",2017-11-14,19.615
"46",2017-11-14,19.4015
"47",2017-11-14,18.711
"48",2017-11-14,18.21125
"49",2017-11-15,18.283
"50",2017-11-15,17.97375
"51",2017-11-15,17.61675
"52",2017-11-15,17.11725
"53",2017-11-15,16.90225
"54",2017-11-15,17.56975
"55",2017-11-15,18.23575
"56",2017-11-15,17.9265
"57",2017-11-15,17.33175
"58",2017-11-15,16.9745
"59",2017-11-15,16.92725
"60",2017-11-15,16.97475
"61",2017-11-15,16.80825
"62",2017-11-15,16.7605
"63",2017-11-15,16.83175
"64",2017-11-15,16.8795
"65",2017-11-15,17.07
"66",2017-11-15,17.42675
"67",2017-11-15,17.64075
"68",2017-11-15,18.0455
"69",2017-11-15,18.59225
"70",2017-11-15,18.83
"71",2017-11-15,18.735
"72",2017-11-15,19.02025
"73",2017-11-15,19.87675
"74",2017-11-15,20.63875
"75",2017-11-15,21.30825
"76",2017-11-15,20.80725
"77",2017-11-15,20.23375
"78",2017-11-15,20.68625
"79",2017-11-15,20.18625
"80",2017-11-15,20.49575
"81",2017-11-15,20.32875
"82",2017-11-15,20.11475
"83",2017-11-15,19.51975
"84",2017-11-15,19.06825
"85",2017-11-15,18.92525
"86",2017-11-15,18.61625
"87",2017-11-15,18.2595
"88",2017-11-15,18.117
"89",2017-11-15,18.02175
"90",2017-11-15,18.11675
"91",2017-11-15,18.521
"92",2017-11-15,18.949
"93",2017-11-15,18.735
"94",2017-11-15,18.426
"95",2017-11-15,18.426
"96",2017-11-15,18.5685
"97",2017-11-16,18.11625
"98",2017-11-16,17.25875
