"","Measurement.Time","Value"
"1",2017-11-14,18.806
"2",2017-11-14,18.307
"3",2017-11-14,17.92625
"4",2017-11-14,17.68875
"5",2017-11-14,17.47475
"6",2017-11-14,17.189
"7",2017-11-14,16.808
"8",2017-11-14,16.40325
"9",2017-11-14,15.95075
"10",2017-11-14,15.56875
"11",2017-11-14,15.2345
"12",2017-11-14,14.9
"13",2017-11-14,14.637
"14",2017-11-14,14.493
"15",2017-11-14,14.517
"16",2017-11-14,17.30775
"17",2017-11-14,19.9245
"18",2017-11-14,20.591
"19",2017-11-14,22.453
"20",2017-11-14,21.5925
"21",2017-11-14,23.96675
"22",2017-11-14,20.877
"23",2017-11-14,21.5225
"24",2017-11-14,21.9805
"25",2017-11-14,23.5115
"26",2017-11-14,23.773
"27",2017-11-14,23.87625
"28",2017-11-14,24.43125
"29",2017-11-14,25.8865
"30",2017-11-14,25.75
"31",2017-11-14,27.16125
"32",2017-11-14,26.783
"33",2017-11-14,25.59075
"34",2017-11-14,23.99325
"35",2017-11-14,22.40575
"36",2017-11-14,22.19075
"37",2017-11-14,21.73625
"38",2017-11-14,21.52125
"39",2017-11-14,21.33
"40",2017-11-14,21.02
"41",2017-11-14,20.87675
"42",2017-11-14,20.61475
"43",2017-11-14,21.11575
"44",2017-11-14,20.901
"45",2017-11-14,20.687
"46",2017-11-14,20.3775
"47",2017-11-14,18.99725
"48",2017-11-14,18.5925
"49",2017-11-15,17.42675
"50",2017-11-15,16.6175
"51",2017-11-15,16.546
"52",2017-11-15,16.212
"53",2017-11-15,16.21275
"54",2017-11-15,16.2125
"55",2017-11-15,16.5225
"56",2017-11-15,16.925
"57",2017-11-15,17.8785
"58",2017-11-15,18.735
"59",2017-11-15,18.9965
"60",2017-11-15,19.44825
"61",2017-11-15,19.66275
"62",2017-11-15,19.71
"63",2017-11-15,19.87625
"64",2017-11-15,20.1385
"65",2017-11-15,20.329
"66",2017-11-15,20.3765
"67",2017-11-15,20.567
"68",2017-11-15,20.90075
"69",2017-11-15,20.94875
"70",2017-11-15,21.09175
"71",2017-11-15,21.18775
"72",2017-11-15,21.16425
"73",2017-11-15,21.66475
"74",2017-11-15,22.3335
"75",2017-11-15,23.02875
"76",2017-11-15,23.24475
"77",2017-11-15,22.81375
"78",2017-11-15,22.76575
"79",2017-11-15,22.47725
"80",2017-11-15,20.0695
"81",2017-11-15,20.63975
"82",2017-11-15,21.4975
"83",2017-11-15,21.09175
"84",2017-11-15,20.853
"85",2017-11-15,21.02
"86",2017-11-15,20.85325
"87",2017-11-15,20.4955
"88",2017-11-15,20.424
"89",2017-11-15,20.35275
"90",2017-11-15,20.2335
"91",2017-11-15,20.16225
"92",2017-11-15,20.0435
"93",2017-11-15,20.0435
"94",2017-11-15,19.97175
